"forecast_date","target","target_end_date","location","type","quantile","value"
2022-01-30,"1 wk ahead inc death",2022-02-05,"US","quantile",0.01,0
2022-01-30,"2 wk ahead inc death",2022-02-12,"US","quantile",0.01,460.28
2022-01-30,"3 wk ahead inc death",2022-02-19,"US","quantile",0.01,362
2022-01-30,"4 wk ahead inc death",2022-02-26,"US","quantile",0.01,286.92
2022-01-30,"5 wk ahead inc death",2022-03-05,"US","quantile",0.01,229.64
2022-01-30,"6 wk ahead inc death",2022-03-12,"US","quantile",0.01,184.24
2022-01-30,"7 wk ahead inc death",2022-03-19,"US","quantile",0.01,151.6
2022-01-30,"8 wk ahead inc death",2022-03-26,"US","quantile",0.01,124.2
2022-01-30,"9 wk ahead inc death",2022-04-02,"US","quantile",0.01,102.4
2022-01-30,"10 wk ahead inc death",2022-04-09,"US","quantile",0.01,87.48
2022-01-30,"11 wk ahead inc death",2022-04-16,"US","quantile",0.01,74.2
2022-01-30,"12 wk ahead inc death",2022-04-23,"US","quantile",0.01,61.56
2022-01-30,"13 wk ahead inc death",2022-04-30,"US","quantile",0.01,54.64
2022-01-30,"14 wk ahead inc death",2022-05-07,"US","quantile",0.01,46.4
2022-01-30,"15 wk ahead inc death",2022-05-14,"US","quantile",0.01,41.88
2022-01-30,"16 wk ahead inc death",2022-05-21,"US","quantile",0.01,35.8
2022-01-30,"17 wk ahead inc death",2022-05-28,"US","quantile",0.01,32.2
2022-01-30,"18 wk ahead inc death",2022-06-04,"US","quantile",0.01,29.08
2022-01-30,"19 wk ahead inc death",2022-06-11,"US","quantile",0.01,25.2
2022-01-30,"20 wk ahead inc death",2022-06-18,"US","quantile",0.01,24.04
2022-01-30,"1 wk ahead cum death",2022-02-05,"US","quantile",0.01,78790.96
2022-01-30,"2 wk ahead cum death",2022-02-12,"US","quantile",0.01,79251.24
2022-01-30,"3 wk ahead cum death",2022-02-19,"US","quantile",0.01,79613.24
2022-01-30,"4 wk ahead cum death",2022-02-26,"US","quantile",0.01,79900.16
